Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB Full Cycle,Chrome 114.0.0.0,,,2023-06-13 15:54:26,2023-06-13 15:55:30,1m - 4.548s,PASSED
,,,,,,,
Test Cases/LOS RBI/Login,Chrome 114.0.0.0,,,2023-06-13 15:54:26,2023-06-13 15:54:40,14.045s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-13 15:54:26,2023-06-13 15:54:29,2.696s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-13 15:54:29,2023-06-13 15:54:29,0.179s,PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-06-13 15:54:29,2023-06-13 15:54:30,0.906s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-13 15:54:30,2023-06-13 15:54:31,0.661s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), USERNAME)",Chrome 114.0.0.0,,,2023-06-13 15:54:31,2023-06-13 15:54:32,0.961s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), PASSWORD)",Chrome 114.0.0.0,,,2023-06-13 15:54:32,2023-06-13 15:54:32,0.617s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-13 15:54:32,2023-06-13 15:54:35,2.636s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:54:35,2023-06-13 15:54:40,5.050s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/ADD,Chrome 114.0.0.0,,,2023-06-13 15:54:40,2023-06-13 15:55:02,21.507s,PASSED
MinLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 15:54:41,2023-06-13 15:54:41,0.015s,PASSED
MinimumLA = MinLa.nextInt(9000) + 1000,Chrome 114.0.0.0,,,2023-06-13 15:54:41,2023-06-13 15:54:41,0.002s,PASSED
MaxLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 15:54:41,2023-06-13 15:54:41,0.001s,PASSED
MaximumLA = MaxLa.nextInt(90000) + 10000,Chrome 114.0.0.0,,,2023-06-13 15:54:41,2023-06-13 15:54:41,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:54:41,2023-06-13 15:54:42,0.943s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/span_Loan Amount Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:54:42,2023-06-13 15:54:43,1.630s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Add New Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:54:43,2023-06-13 15:54:44,0.716s,PASSED
