Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB Full Cycle,Chrome 114.0.0.0,,,2023-06-13 15:49:15,2023-06-13 15:50:25,1m - 9.552s,PASSED
,,,,,,,
Test Cases/LOS RBI/Login,Chrome 114.0.0.0,,,2023-06-13 15:49:16,2023-06-13 15:49:30,14.481s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-13 15:49:16,2023-06-13 15:49:19,2.941s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-13 15:49:19,2023-06-13 15:49:19,0.193s,PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-06-13 15:49:19,2023-06-13 15:49:20,1.087s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-13 15:49:20,2023-06-13 15:49:21,0.626s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), USERNAME)",Chrome 114.0.0.0,,,2023-06-13 15:49:21,2023-06-13 15:49:22,0.934s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), PASSWORD)",Chrome 114.0.0.0,,,2023-06-13 15:49:22,2023-06-13 15:49:22,0.581s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-13 15:49:22,2023-06-13 15:49:25,2.741s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:49:25,2023-06-13 15:49:30,5.047s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/ADD,Chrome 114.0.0.0,,,2023-06-13 15:49:30,2023-06-13 15:49:53,22.609s,PASSED
MinLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 15:49:31,2023-06-13 15:49:31,0.016s,PASSED
MinimumLA = MinLa.nextInt(9000) + 1000,Chrome 114.0.0.0,,,2023-06-13 15:49:31,2023-06-13 15:49:31,0.003s,PASSED
MaxLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 15:49:31,2023-06-13 15:49:31,0.001s,PASSED
MaximumLA = MaxLa.nextInt(90000) + 10000,Chrome 114.0.0.0,,,2023-06-13 15:49:31,2023-06-13 15:49:31,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:49:31,2023-06-13 15:49:32,1.402s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/span_Loan Amount Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:49:32,2023-06-13 15:49:34,1.645s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Add New Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:49:34,2023-06-13 15:49:35,0.704s,PASSED
"setText(findTestObject(""Page_LOS Web HomePage/input__txtMinAmount""), MinimumLA.toString())",Chrome 114.0.0.0,,,2023-06-13 15:49:35,2023-06-13 15:49:36,1.136s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_Minimum Amount_txtMaxAmount""), MaximumLA.toString())",Chrome 114.0.0.0,,,2023-06-13 15:49:36,2023-06-13 15:49:37,0.884s,PASSED
