Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB Full Cycle,Chrome 114.0.0.0,,,2023-06-21 10:32:42,2023-06-21 10:35:06,2m - 24.377s,FAILED
,,,,,,,
Test Cases/LOS RBI/Login,Chrome 114.0.0.0,,,2023-06-21 10:32:42,2023-06-21 10:32:56,14.067s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-21 10:32:42,2023-06-21 10:32:45,2.592s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-21 10:32:45,2023-06-21 10:32:45,0.175s,PASSED
navigateToUrl(URL_RBI),Chrome 114.0.0.0,,,2023-06-21 10:32:45,2023-06-21 10:32:46,1.341s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-21 10:32:46,2023-06-21 10:32:47,0.613s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), USERNAME_RBI)",Chrome 114.0.0.0,,,2023-06-21 10:32:47,2023-06-21 10:32:48,0.835s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), PASSWORD_RBI)",Chrome 114.0.0.0,,,2023-06-21 10:32:48,2023-06-21 10:32:48,0.656s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-21 10:32:48,2023-06-21 10:32:51,2.523s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-21 10:32:51,2023-06-21 10:32:56,5.035s,PASSED
,,,,,,,
Test Cases/LOS RBI/Dashboard/CID and view ePN,Chrome 114.0.0.0,,,2023-06-21 10:32:56,2023-06-21 10:33:21,25.566s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_Thursday, June 8, 2023_txtSearchCID""), ""1030091995"")",Chrome 114.0.0.0,,,2023-06-21 10:32:56,2023-06-21 10:32:58,1.751s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Search""))",Chrome 114.0.0.0,,,2023-06-21 10:32:58,2023-06-21 10:32:59,0.510s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-21 10:32:59,2023-06-21 10:33:02,3.017s,PASSED
"scrollToPosition(0, 150)",Chrome 114.0.0.0,,,2023-06-21 10:33:02,2023-06-21 10:33:02,0.057s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-21 10:33:02,2023-06-21 10:33:05,3.009s,PASSED
"click(findTestObject(""Object Repository/SpyWeb_Elements/Page_LOS Web HomePage/Dashboard/Page_LOS Web HomePage/a_64e443173f8090c620230605085556467""))",Chrome 114.0.0.0,,,2023-06-21 10:33:05,2023-06-21 10:33:06,1.428s,PASSED
