Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB Full Cycle,Chrome 114.0.0.0,,,2023-06-13 16:12:11,2023-06-13 16:13:21,1m - 10.142s,PASSED
,,,,,,,
Test Cases/LOS RBI/Login,Chrome 114.0.0.0,,,2023-06-13 16:12:11,2023-06-13 16:12:26,14.411s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-13 16:12:12,2023-06-13 16:12:15,2.944s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-13 16:12:15,2023-06-13 16:12:15,0.176s,PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-06-13 16:12:15,2023-06-13 16:12:16,1.185s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-13 16:12:16,2023-06-13 16:12:17,0.655s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), USERNAME)",Chrome 114.0.0.0,,,2023-06-13 16:12:17,2023-06-13 16:12:17,0.922s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), PASSWORD)",Chrome 114.0.0.0,,,2023-06-13 16:12:17,2023-06-13 16:12:18,0.658s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-13 16:12:18,2023-06-13 16:12:21,2.505s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 16:12:21,2023-06-13 16:12:26,5.054s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/ADD,Chrome 114.0.0.0,,,2023-06-13 16:12:26,2023-06-13 16:12:49,23.026s,PASSED
MinLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 16:12:27,2023-06-13 16:12:27,0.014s,PASSED
MinimumLA = MinLa.nextInt(9000) + 1000,Chrome 114.0.0.0,,,2023-06-13 16:12:27,2023-06-13 16:12:27,0.002s,PASSED
MaxLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 16:12:27,2023-06-13 16:12:27,0.001s,PASSED
MaximumLA = MaxLa.nextInt(90000) + 10000,Chrome 114.0.0.0,,,2023-06-13 16:12:27,2023-06-13 16:12:27,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 16:12:27,2023-06-13 16:12:27,0.844s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/span_Loan Amount Matrix""))",Chrome 114.0.0.0,,,2023-06-13 16:12:27,2023-06-13 16:12:29,1.589s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Add New Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 16:12:29,2023-06-13 16:12:30,0.762s,PASSED
"setText(findTestObject(""Page_LOS Web HomePage/input__txtMinAmount""), MinimumLA.toString())",Chrome 114.0.0.0,,,2023-06-13 16:12:30,2023-06-13 16:12:31,1.571s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_Minimum Amount_txtMaxAmount""), MaximumLA.toString())",Chrome 114.0.0.0,,,2023-06-13 16:12:31,2023-06-13 16:12:33,1.296s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Please Select Role Account Officer S_1fb818""), ""1016"", true)",Chrome 114.0.0.0,,,2023-06-13 16:12:33,2023-06-13 16:12:35,2.150s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Please Select Action Recommendation _3b373a""), ""1"", true)",Chrome 114.0.0.0,,,2023-06-13 16:12:35,2023-06-13 16:12:36,1.552s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Save""))",Chrome 114.0.0.0,,,2023-06-13 16:12:36,2023-06-13 16:12:37,0.927s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 16:12:37,2023-06-13 16:12:37,0.066s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 16:12:37,2023-06-13 16:12:37,0.108s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 16:12:37,2023-06-13 16:12:42,5.010s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""Super"")",Chrome 114.0.0.0,,,2023-06-13 16:12:42,2023-06-13 16:12:44,1.274s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 16:12:44,2023-06-13 16:12:49,5.008s,PASSED
,,,,,,,
