Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB Full Cycle,Chrome 114.0.0.0,,,2023-06-13 15:47:56,2023-06-13 15:49:05,1m - 9.085s,PASSED
,,,,,,,
Test Cases/LOS RBI/Login,Chrome 114.0.0.0,,,2023-06-13 15:47:57,2023-06-13 15:48:11,14.718s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-13 15:47:57,2023-06-13 15:48:00,2.875s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-13 15:48:00,2023-06-13 15:48:00,0.180s,PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-06-13 15:48:00,2023-06-13 15:48:01,1.003s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-13 15:48:01,2023-06-13 15:48:02,0.660s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), USERNAME)",Chrome 114.0.0.0,,,2023-06-13 15:48:02,2023-06-13 15:48:03,0.915s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), PASSWORD)",Chrome 114.0.0.0,,,2023-06-13 15:48:03,2023-06-13 15:48:03,0.619s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-13 15:48:03,2023-06-13 15:48:06,3.075s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:48:06,2023-06-13 15:48:11,5.060s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/ADD,Chrome 114.0.0.0,,,2023-06-13 15:48:11,2023-06-13 15:48:35,23.208s,PASSED
MinLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 15:48:12,2023-06-13 15:48:12,0.015s,PASSED
MinimumLA = MinLa.nextInt(9000) + 1000,Chrome 114.0.0.0,,,2023-06-13 15:48:12,2023-06-13 15:48:12,0.003s,PASSED
MaxLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 15:48:12,2023-06-13 15:48:12,0.001s,PASSED
MaximumLA = MaxLa.nextInt(90000) + 10000,Chrome 114.0.0.0,,,2023-06-13 15:48:12,2023-06-13 15:48:12,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:48:12,2023-06-13 15:48:13,0.834s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/span_Loan Amount Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:48:13,2023-06-13 15:48:15,1.739s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Add New Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:48:15,2023-06-13 15:48:16,1.215s,PASSED
"setText(findTestObject(""Page_LOS Web HomePage/input__txtMinAmount""), MinimumLA.toString())",Chrome 114.0.0.0,,,2023-06-13 15:48:16,2023-06-13 15:48:17,1.410s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_Minimum Amount_txtMaxAmount""), MaximumLA.toString())",Chrome 114.0.0.0,,,2023-06-13 15:48:17,2023-06-13 15:48:18,0.985s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Please Select Role Account Officer S_1fb818""), ""1016"", true)",Chrome 114.0.0.0,,,2023-06-13 15:48:18,2023-06-13 15:48:20,1.993s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Please Select Action Recommendation _3b373a""), ""1"", true)",Chrome 114.0.0.0,,,2023-06-13 15:48:20,2023-06-13 15:48:22,1.679s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Save""))",Chrome 114.0.0.0,,,2023-06-13 15:48:22,2023-06-13 15:48:23,0.962s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:48:23,2023-06-13 15:48:23,0.052s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:48:23,2023-06-13 15:48:23,0.108s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:48:23,2023-06-13 15:48:28,5.018s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""Super"")",Chrome 114.0.0.0,,,2023-06-13 15:48:28,2023-06-13 15:48:30,1.385s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:48:30,2023-06-13 15:48:35,5.007s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/EDIT,Chrome 114.0.0.0,,,2023-06-13 15:48:35,2023-06-13 15:48:45,10.116s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""super"")",Chrome 114.0.0.0,,,2023-06-13 15:48:35,2023-06-13 15:48:36,1.238s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Description_btnUpdateLoan""))",Chrome 114.0.0.0,,,2023-06-13 15:48:36,2023-06-13 15:48:37,0.533s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Recommendation Approval""), ""2"", true)",Chrome 114.0.0.0,,,2023-06-13 15:48:37,2023-06-13 15:48:39,2.042s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Update""))",Chrome 114.0.0.0,,,2023-06-13 15:48:39,2023-06-13 15:48:40,0.503s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:48:40,2023-06-13 15:48:40,0.025s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:48:40,2023-06-13 15:48:40,0.059s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:48:40,2023-06-13 15:48:45,5.008s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/DELETE,Chrome 114.0.0.0,,,2023-06-13 15:48:49,2023-06-13 15:49:03,14.001s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""Super"")",Chrome 114.0.0.0,,,2023-06-13 15:48:49,2023-06-13 15:48:50,0.922s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Description_btnDeleteMatrix""))",Chrome 114.0.0.0,,,2023-06-13 15:48:50,2023-06-13 15:48:52,1.910s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:48:52,2023-06-13 15:48:52,0.037s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:48:52,2023-06-13 15:48:52,0.061s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:48:52,2023-06-13 15:48:57,5.010s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""super"")",Chrome 114.0.0.0,,,2023-06-13 15:48:57,2023-06-13 15:48:58,1.037s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:48:58,2023-06-13 15:49:03,5.004s,PASSED
,,,,,,,
Test Cases/LOS RBI/Logout,Chrome 114.0.0.0,,,2023-06-13 15:49:03,2023-06-13 15:49:05,2.303s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Logout""))",Chrome 114.0.0.0,,,2023-06-13 15:49:04,2023-06-13 15:49:04,0.493s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Logout_1""))",Chrome 114.0.0.0,,,2023-06-13 15:49:04,2023-06-13 15:49:05,1.159s,PASSED
