Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB Full Cycle,Chrome 114.0.0.0,,,2023-06-13 15:46:21,2023-06-13 15:47:45,1m - 23.533s,PASSED
,,,,,,,
Test Cases/LOS RBI/Login,Chrome 114.0.0.0,,,2023-06-13 15:46:21,2023-06-13 15:46:37,15.706s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-13 15:46:22,2023-06-13 15:46:25,3.047s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-13 15:46:25,2023-06-13 15:46:25,0.178s,PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-06-13 15:46:25,2023-06-13 15:46:27,1.777s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-13 15:46:27,2023-06-13 15:46:27,0.670s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), USERNAME)",Chrome 114.0.0.0,,,2023-06-13 15:46:27,2023-06-13 15:46:28,0.907s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), PASSWORD)",Chrome 114.0.0.0,,,2023-06-13 15:46:28,2023-06-13 15:46:29,0.678s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-13 15:46:29,2023-06-13 15:46:32,2.976s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:46:32,2023-06-13 15:46:37,5.056s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/ADD,Chrome 114.0.0.0,,,2023-06-13 15:46:37,2023-06-13 15:46:59,22.070s,PASSED
MinLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 15:46:38,2023-06-13 15:46:38,0.016s,PASSED
