Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB Full Cycle,Chrome 114.0.0.0,,,2023-06-13 15:57:55,2023-06-13 15:59:03,1m - 7.172s,PASSED
,,,,,,,
Test Cases/LOS RBI/Login,Chrome 114.0.0.0,,,2023-06-13 15:57:56,2023-06-13 15:58:11,14.779s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-13 15:57:56,2023-06-13 15:57:59,2.807s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-13 15:57:59,2023-06-13 15:57:59,0.178s,PASSED
navigateToUrl(URL),Chrome 114.0.0.0,,,2023-06-13 15:57:59,2023-06-13 15:58:00,1.261s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-13 15:58:00,2023-06-13 15:58:01,0.648s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), USERNAME)",Chrome 114.0.0.0,,,2023-06-13 15:58:01,2023-06-13 15:58:02,0.924s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), PASSWORD)",Chrome 114.0.0.0,,,2023-06-13 15:58:02,2023-06-13 15:58:02,0.607s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-13 15:58:02,2023-06-13 15:58:05,2.949s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:58:05,2023-06-13 15:58:10,5.062s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/ADD,Chrome 114.0.0.0,,,2023-06-13 15:58:11,2023-06-13 15:58:32,21.348s,PASSED
MinLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 15:58:11,2023-06-13 15:58:11,0.015s,PASSED
MinimumLA = MinLa.nextInt(9000) + 1000,Chrome 114.0.0.0,,,2023-06-13 15:58:11,2023-06-13 15:58:11,0.002s,PASSED
MaxLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-13 15:58:11,2023-06-13 15:58:11,0.001s,PASSED
MaximumLA = MaxLa.nextInt(90000) + 10000,Chrome 114.0.0.0,,,2023-06-13 15:58:11,2023-06-13 15:58:11,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:58:11,2023-06-13 15:58:12,0.509s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/span_Loan Amount Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:58:12,2023-06-13 15:58:13,1.312s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Add New Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-13 15:58:13,2023-06-13 15:58:14,0.712s,PASSED
"setText(findTestObject(""Page_LOS Web HomePage/input__txtMinAmount""), MinimumLA.toString())",Chrome 114.0.0.0,,,2023-06-13 15:58:14,2023-06-13 15:58:15,1.165s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_Minimum Amount_txtMaxAmount""), MaximumLA.toString())",Chrome 114.0.0.0,,,2023-06-13 15:58:15,2023-06-13 15:58:16,0.905s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Please Select Role Account Officer S_1fb818""), ""1016"", true)",Chrome 114.0.0.0,,,2023-06-13 15:58:16,2023-06-13 15:58:18,2.323s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Please Select Action Recommendation _3b373a""), ""1"", true)",Chrome 114.0.0.0,,,2023-06-13 15:58:18,2023-06-13 15:58:20,1.664s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Save""))",Chrome 114.0.0.0,,,2023-06-13 15:58:20,2023-06-13 15:58:20,0.516s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:58:20,2023-06-13 15:58:20,0.065s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:58:20,2023-06-13 15:58:21,0.074s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:58:21,2023-06-13 15:58:26,5.014s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""Super"")",Chrome 114.0.0.0,,,2023-06-13 15:58:26,2023-06-13 15:58:27,1.287s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:58:27,2023-06-13 15:58:32,5.014s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/EDIT,Chrome 114.0.0.0,,,2023-06-13 15:58:32,2023-06-13 15:58:42,10.220s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""super"")",Chrome 114.0.0.0,,,2023-06-13 15:58:33,2023-06-13 15:58:34,1.372s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Description_btnUpdateLoan""))",Chrome 114.0.0.0,,,2023-06-13 15:58:34,2023-06-13 15:58:35,0.615s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_LOS Web HomePage/select_Recommendation Approval""), ""2"", true)",Chrome 114.0.0.0,,,2023-06-13 15:58:35,2023-06-13 15:58:36,1.939s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Update""))",Chrome 114.0.0.0,,,2023-06-13 15:58:36,2023-06-13 15:58:37,0.510s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:58:37,2023-06-13 15:58:37,0.020s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:58:37,2023-06-13 15:58:37,0.048s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:58:37,2023-06-13 15:58:42,5.017s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/DELETE,Chrome 114.0.0.0,,,2023-06-13 15:58:47,2023-06-13 15:59:01,14.116s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_search""), ""Super"")",Chrome 114.0.0.0,,,2023-06-13 15:58:47,2023-06-13 15:58:48,0.960s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Description_btnDeleteMatrix""))",Chrome 114.0.0.0,,,2023-06-13 15:58:48,2023-06-13 15:58:49,1.788s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:58:49,2023-06-13 15:58:49,0.030s,PASSED
acceptAlert(),Chrome 114.0.0.0,,,2023-06-13 15:58:49,2023-06-13 15:58:49,0.063s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-13 15:58:49,2023-06-13 15:58:54,5.017s,PASSED
