Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOS-WEB Full Cycle,Chrome 114.0.0.0,,,2023-06-21 10:10:22,2023-06-21 10:14:01,3m - 39.695s,FAILED
,,,,,,,
Test Cases/LOS RBI/Login,Chrome 114.0.0.0,,,2023-06-21 10:10:22,2023-06-21 10:10:37,15.054s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-21 10:10:22,2023-06-21 10:10:25,2.718s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-06-21 10:10:25,2023-06-21 10:10:25,0.182s,PASSED
navigateToUrl(URL_RBI),Chrome 114.0.0.0,,,2023-06-21 10:10:25,2023-06-21 10:10:27,1.360s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/label_Username""))",Chrome 114.0.0.0,,,2023-06-21 10:10:27,2023-06-21 10:10:27,0.623s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web - Login/input_LOAN ORIGINATION SYSTEM (LOS) Web_userName""), USERNAME_RBI)",Chrome 114.0.0.0,,,2023-06-21 10:10:27,2023-06-21 10:10:28,0.885s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_LOS Web - Login/input_Username_userPass""), PASSWORD_RBI)",Chrome 114.0.0.0,,,2023-06-21 10:10:28,2023-06-21 10:10:29,0.599s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web - Login/button_Login""))",Chrome 114.0.0.0,,,2023-06-21 10:10:29,2023-06-21 10:10:32,3.338s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-21 10:10:32,2023-06-21 10:10:37,5.047s,PASSED
,,,,,,,
Test Cases/LOS RBI/Dashboard/CID and view ePN,Chrome 114.0.0.0,,,2023-06-21 10:10:37,2023-06-21 10:11:02,25.393s,PASSED
"setText(findTestObject(""Object Repository/Page_LOS Web HomePage/input_Thursday, June 8, 2023_txtSearchCID""), ""1030091995"")",Chrome 114.0.0.0,,,2023-06-21 10:10:38,2023-06-21 10:10:39,1.571s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/button_Search""))",Chrome 114.0.0.0,,,2023-06-21 10:10:39,2023-06-21 10:10:40,0.920s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-21 10:10:40,2023-06-21 10:10:43,3.013s,PASSED
"scrollToPosition(0, 150)",Chrome 114.0.0.0,,,2023-06-21 10:10:43,2023-06-21 10:10:43,0.052s,PASSED
delay(3),Chrome 114.0.0.0,,,2023-06-21 10:10:43,2023-06-21 10:10:46,3.008s,PASSED
"click(findTestObject(""Object Repository/SpyWeb_Elements/Page_LOS Web HomePage/Dashboard/Page_LOS Web HomePage/a_64e443173f8090c620230605085556467""))",Chrome 114.0.0.0,,,2023-06-21 10:10:46,2023-06-21 10:10:47,0.939s,PASSED
delay(10),Chrome 114.0.0.0,,,2023-06-21 10:10:47,2023-06-21 10:10:57,10.019s,PASSED
switchToWindowIndex(0),Chrome 114.0.0.0,,,2023-06-21 10:10:57,2023-06-21 10:10:57,0.075s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-06-21 10:10:57,2023-06-21 10:11:02,5.005s,PASSED
closeWindowIndex(1),Chrome 114.0.0.0,,,2023-06-21 10:11:02,2023-06-21 10:11:02,0.103s,PASSED
switchToWindowIndex(0),Chrome 114.0.0.0,,,2023-06-21 10:11:02,2023-06-21 10:11:02,0.022s,PASSED
,,,,,,,
Test Cases/LOS RBI/Loan Matrix/Loan Amount/ADD,Chrome 114.0.0.0,,,2023-06-21 10:11:02,2023-06-21 10:11:16,14.051s,PASSED
MinLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-21 10:11:03,2023-06-21 10:11:03,0.002s,PASSED
MinimumLA = MinLa.nextInt(9000) + 1000,Chrome 114.0.0.0,,,2023-06-21 10:11:03,2023-06-21 10:11:03,0.010s,PASSED
MaxLa = new java.util.Random(),Chrome 114.0.0.0,,,2023-06-21 10:11:03,2023-06-21 10:11:03,0.000s,PASSED
MaximumLA = MaxLa.nextInt(90000) + 10000,Chrome 114.0.0.0,,,2023-06-21 10:11:03,2023-06-21 10:11:03,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_LOS Web HomePage/a_Loan Matrix""))",Chrome 114.0.0.0,,,2023-06-21 10:11:03,2023-06-21 10:11:04,0.474s,PASSED
